datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20160830-15:00,Mist,25,0,0,,,,1001,0,0,,0,0,2,20,NNE,,,148.2
20160830-18:00,Mist,26,0,0,,86,,1002,0,0,28,0,0,2,140,SE,,,3.7
20160830-21:00,Mist,25,0,0,,84,,1001,0,0,27,0,0,2,,,,,0
20160831-00:00,Mist,25,0,0,,84,,1001,0,0,27,0,0,2,,,,,0
20160831-02:00,Overcast,26,0,0,31.2,94,,1003,0,0,27,0,0,2.5,60,ENE,,,5.6
20160831-02:30,Overcast,26,0,0,33.6,89,,1003,0,0,28,0,0,2.5,50,NE,,,16.7
20160831-03:00,Rain,26,0,0,,90,,1002,1,0,27,0,0,0.5,50,NE,,,7.4
20160831-03:30,Thunderstorms and Rain,26,0,0,,100,,1005,1,0,26,1,0,0.2,210,SSW,,,27.8
20160831-04:00,Heavy Thunderstorms and Rain,26,0,0,,100,,1005,1,0,26,1,0,0.2,50,NE,,,5.6
20160831-04:30,Heavy Thunderstorms and Rain,25,0,0,,94,,1005,1,0,26,1,0,0.8,70,ENE,,,5.6
20160831-05:00,Light Thunderstorms and Rain,24,0,0,,100,,1005,1,0,24,1,0,1.5,120,ESE,,,7.4
20160831-05:30,Rain,24,0,0,,94,,1005,1,0,25,0,0,2,60,ENE,,,3.7
20160831-06:00,Light Rain,24,0,0,,99,,1004,1,0,25,0,0,2,,,,,0
20160831-06:30,Light Rain,24,0,0,,94,,1005,1,0,25,0,0,2,110,ESE,,,3.7
20160831-07:00,Mostly Cloudy,24,0,0,,94,,1004,0,0,25,0,0,2,0,North,,,0
20160831-07:30,Mostly Cloudy,24,0,0,,89,,1004,0,0,26,0,0,2,70,ENE,,,3.7
20160831-08:00,Mostly Cloudy,26,0,0,,100,,1004,0,0,26,0,0,2,120,ESE,,,7.4
20160831-08:30,Mostly Cloudy,26,0,0,33.6,89,,1003,0,0,28,0,0,2,80,East,,,3.7
20160831-09:00,Mist,26,0,0,,80,,1001,0,0,29,0,0,2,50,NE,,,3.7
20160831-09:30,Mostly Cloudy,26,0,0,35.6,84,,1002,0,0,29,0,0,2,50,NE,,,5.6
20160831-10:00,Mostly Cloudy,26,0,0,35.6,84,,1002,0,0,29,0,0,3,90,East,,,3.7
20160831-10:30,Mostly Cloudy,26,0,0,35.6,84,,1002,0,0,29,0,0,3,90,East,,,7.4
20160831-11:00,Mostly Cloudy,26,0,0,35.6,84,,1002,0,0,29,0,0,3,90,East,,,7.4
20160831-11:30,Mostly Cloudy,27,0,0,38.8,84,,1002,0,0,30,0,0,3,70,ENE,,,9.3
20160831-12:00,Mist,27,0,0,,78,,1000,0,0,30,0,0,2,70,ENE,,,7.4
20160831-12:30,Mostly Cloudy,27,0,0,38.8,84,,1002,0,0,30,0,0,3,70,ENE,,,7.4
20160831-13:00,Mostly Cloudy,27,0,0,38.8,84,,1002,0,0,30,0,0,3,90,East,,,7.4
20160831-15:00,Mist,26,0,0,,84,,1003,0,0,28,0,0,2,140,SE,,,11.1
20160831-18:00,Mist,24,0,0,,88,,1004,0,0,26,0,0,2,90,East,,,9.3
20160831-21:00,Mist,25,0,0,,90,,1002,0,0,26,0,0,2,50,NE,,,3.7
20160901-00:00,Mist,25,0,0,,89,,1002,0,0,26,0,0,2,90,East,,,3.7
20160901-02:00,Mostly Cloudy,25,0,0,,94,,1004,0,0,26,0,0,2.5,50,NE,,,7.4
20160901-02:30,Overcast,25,0,0,,94,,1004,0,0,26,0,0,2.5,50,NE,,,3.7
20160901-03:00,Mist,25,0,0,,87,,1003,0,0,27,0,0,2,50,NE,,,7.4
20160901-03:30,Rain,26,0,0,31.2,94,,1005,1,0,27,0,0,2,180,South,,,7.4
20160901-04:00,Thunderstorms and Rain,25,0,0,30.6,89,,1005,1,0,27,1,0,2,90,East,,,3.7
20160901-04:30,Thunderstorms and Rain,25,0,0,30.6,89,,1005,1,0,27,1,0,2,160,SSE,,,7.4
20160901-05:00,Thunderstorms and Rain,26,0,0,31.2,94,,1005,1,0,27,1,0,2,160,SSE,,,7.4
20160901-05:30,Rain,26,0,0,31.2,94,,1005,1,0,27,0,0,2,180,South,,,7.4
20160901-06:00,Rain,26,0,0,,93,,1004,1,0,26,0,0,2,180,South,,,7.4
20160901-06:30,Rain,26,0,0,,100,,1004,1,0,26,0,0,2,180,South,,,7.4
20160901-07:00,Rain,26,0,0,,100,,1004,1,0,26,0,0,2,180,South,,,3.7
20160901-07:30,Rain,26,0,0,,100,,1004,1,0,26,0,0,2,180,South,,,3.7
20160901-08:00,Mostly Cloudy,26,0,0,31.2,94,,1002,0,0,27,0,0,2,270,West,,,3.7
20160901-09:00,Mist,25,0,0,,70,,1000,0,0,30,0,0,2,,,,,0
20160901-09:30,Mostly Cloudy,25,0,0,36,74,,1001,0,0,30,0,0,3,320,NW,,,5.6
20160901-10:00,Mostly Cloudy,26,0,0,37.4,79,,1001,0,0,30,0,0,3,280,West,,,3.7
20160901-11:00,Mostly Cloudy,26,0,0,39.2,75,,1001,0,0,31,0,0,3,0,North,,,0
